,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
114,Tajon Buchanan\3aca6420,ca CAN,MFFW,New England,21,1999,19.4,8,62,21,33.9,3.2,1.08,0.13,0.38,16.2,0,0,0,4.9,4.9,0.08,+3.1,+3.1,Matches
115,Adam Buksa\3b676989,pl POL,FW,New England,24,1996,23.1,16,112,40,35.7,4.85,1.73,0.14,0.4,11.3,1,0,0,16.3,16.3,0.15,-0.3,-0.3,Matches
116,Teal Bunbury\3077fce8,us USA,FWMF,New England,30,1990,12.7,3,32,12,37.5,2.52,0.94,0.09,0.25,13.3,0,0,0,4.3,4.3,0.14,-1.3,-1.3,Matches
117,Nkosi Burgess\4a07ae31,us USA,DF,FC Dallas,23,1997,20.3,1,8,1,12.5,0.39,0.05,0.13,1,10.3,0,0,0,0.7,0.7,0.08,+0.3,+0.3,Matches
118,Cory Burke\39fde61c,jm JAM,FWMF,Philadelphia,29,1991,10.5,4,29,10,34.5,2.75,0.95,0.14,0.4,11.7,0,0,0,3.7,3.7,0.13,+0.3,+0.3,Matches
119,Evan Bush\69a57596,us USA,GK,Columbus Crew,34,1986,4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
120,Gianluca Busio\4a0b7f07,us USA,MFFW,Sporting KC,18,2002,12.8,2,27,7,25.9,2.11,0.55,0.07,0.29,22.1,6,0,0,1.9,1.9,0.07,+0.1,+0.1,Matches
121,Handwalla Bwana\b56080ee,us USA,FW,Nashville,23,1997,1.1,0,3,1,33.3,2.76,0.92,0,0,11.1,0,0,0,0.6,0.6,0.18,-0.6,-0.6,Matches
122,Brandon Bye\9fcd12af,us USA,DF,New England,25,1995,27.5,2,21,6,28.6,0.76,0.22,0.1,0.33,10.6,0,0,0,1.7,1.7,0.08,+0.3,+0.3,Matches
123,Kevin Cabral\42af215b,fr FRA,FWMF,LA Galaxy,21,1999,22.1,5,48,23,47.9,2.17,1.04,0.1,0.22,14,0,0,0,8.5,8.5,0.18,-3.5,-3.5,Matches
124,Jhonder Cádiz\e8edfdc9,ve VEN,FW,Nashville,25,1995,7.7,2,29,9,31,3.79,1.18,0.07,0.22,11.8,0,0,0,3.8,3.8,0.13,-1.8,-1.8,Matches
125,Deiber Caicedo\9bfa2f52,co COL,FWMF,Vancouver,20,2000,25,5,51,16,31.4,2.04,0.64,0.1,0.31,19.3,7,0,0,6.2,6.2,0.12,-1.2,-1.2,Matches
126,Luís Caicedo\008ddeb9,co COL,MF,New England,24,1996,2.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
127,Scott Caldwell\4a54592d,us USA,MF,New England,29,1991,2.3,0,2,0,0,0.88,0,0,,17.5,0,0,0,0.4,0.4,0.18,-0.4,-0.4,Matches
128,Alexander Callens\af34f10d,pe PER,DF,NYCFC,28,1992,23.3,1,12,2,16.7,0.52,0.09,0.08,0.5,8.3,0,0,0,1.4,1.4,0.12,-0.4,-0.4,Matches
129,Francisco Calvo\706bd23f,cr CRC,DF,Chicago Fire,28,1992,16.2,1,20,5,25,1.24,0.31,0.05,0.2,9.2,0,0,0,1.5,1.5,0.07,-0.5,-0.5,Matches
130,Rudy Camacho\6ad16d47,fr FRA,DF,CF Montréal,29,1991,30.5,3,15,4,26.7,0.49,0.13,0.2,0.75,8.8,0,0,0,1.2,1.2,0.08,+1.8,+1.8,Matches
131,Geoff Cameron\1a160ea3,us USA,DF,FC Cincinnati,35,1985,26.3,0,12,3,25,0.46,0.11,0,0,10.6,0,0,0,0.8,0.8,0.07,-0.8,-0.8,Matches
132,George Campbell\45e1a597,us USA,DF,Atlanta Utd,19,2001,7,1,3,1,33.3,0.43,0.14,0.33,1,19,0,0,0,0.1,0.1,0.04,+0.9,+0.9,Matches
133,Russell Canouse\ec730d9a,us USA,MF,D.C. United,25,1995,19,1,21,8,38.1,1.1,0.42,0.05,0.13,13.5,0,0,0,1.8,1.8,0.09,-0.8,-0.8,Matches
