,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
713,Patrick Weah\ae2ee5a5,lr LBR,FW,Minnesota Utd,17,2003,0.2,0,3,1,33.3,12.27,4.09,0,0,12.7,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
714,Quentin Westberg\5480ae05,us USA,GK,Toronto FC,34,1986,10,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
715,Brian White\54c948de,us USA,FW,Vancouver,24,1996,21.3,12,43,23,53.5,2.02,1.08,0.28,0.52,10.5,0,0,0,9.1,9.1,0.21,+2.9,+2.9,Matches
716,Brian White\54c948de,us USA,MFFW,NY Red Bulls,24,1996,2.2,0,2,1,50,0.93,0.46,0,0,13,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
717,Augustine Williams\8bb1c744,sl SLE,FW,LA Galaxy,23,1997,1,0,2,1,50,2.02,1.01,0,0,18.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
718,Derrick Williams\c0a28fbd,ie IRL,DF,LA Galaxy,28,1993,18.5,0,14,5,35.7,0.76,0.27,0,0,10.5,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
719,Josh Williams\06098bfc,us USA,DF,Columbus Crew,32,1988,15.2,0,4,1,25,0.26,0.07,0,0,4.5,0,0,0,0.9,0.9,0.23,-0.9,-0.9,Matches
720,Eryk Williamson\e0364352,us USA,MF,Portland Timbers,23,1997,10.5,1,8,5,62.5,0.76,0.47,0.13,0.2,16.6,0,0,0,0.9,0.9,0.11,+0.1,+0.1,Matches
721,Joe Willis\467f09c8,us USA,GK,Nashville,32,1988,34,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
722,Danny Wilson\9cfe9254,sct SCO,DF,Colorado Rapids,29,1991,27.2,2,17,4,23.5,0.62,0.15,0.12,0.5,9,0,0,0,1.3,1.3,0.07,+0.7,+0.7,Matches
723,Owen Wolff\9edc70d6,us USA,MFFW,Austin FC,16,2004,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
724,Tyler Wolff\0985c282,us USA,MFFW,Atlanta Utd,17,2003,2.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
725,Chris Wondolowski\37f46eda,us USA,FWMF,San Jose,38,1983,14,5,42,16,38.1,3,1.14,0.12,0.31,12.8,1,0,1,6.7,5.9,0.14,-1.7,-0.9,Matches
726,Bobby Wood\9853983f,us USA,FWMF,Real Salt Lake,28,1992,6.9,2,19,6,31.6,2.76,0.87,0.11,0.33,13.1,0,0,0,2.1,2.1,0.11,-0.1,-0.1,Matches
727,Vito Wormgoor\31d7acd1,nl NED,DF,Columbus Crew,32,1988,14.3,0,5,0,0,0.35,0,0,,9.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
728,Bradley Wright-Phillips\9bb42ab8,eng ENG,FW,Columbus Crew,35,1985,7.3,1,13,3,23.1,1.78,0.41,0.08,0.33,11.7,0,0,0,1.5,1.5,0.12,-0.5,-0.5,Matches
729,William Yarbrough\ec646e88,us USA,GK,Colorado Rapids,31,1989,33,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
730,Dru Yearwood\2eb09121,eng ENG,MF,NY Red Bulls,20,2000,18.8,1,21,6,28.6,1.12,0.32,0.05,0.17,24,0,0,0,1.3,1.3,0.06,-0.3,-0.3,Matches
731,Griffin Yow\ddd5cf39,us USA,DFFW,D.C. United,18,2002,2.7,1,6,2,33.3,2.25,0.75,0.17,0.5,19.6,0,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches
732,Jackson Yueill\7dce16bf,us USA,MF,San Jose,23,1997,28.4,3,26,10,38.5,0.92,0.35,0.12,0.3,18.6,1,0,0,3.5,3.5,0.13,-0.5,-0.5,Matches
733,Renzo Zambrano\526bf96c,ve VEN,MF,Portland Timbers,26,1994,6.6,0,4,0,0,0.61,0,0,,32.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
734,Gyasi Zardes\09ae7f92,us USA,FW,Columbus Crew,29,1991,17.3,9,35,16,45.7,2.02,0.92,0.26,0.56,11.9,0,0,0,6.5,6.5,0.19,+2.5,+2.5,Matches
735,Eriq Zavaleta\edbfbb3f,sv SLV,DF,Toronto FC,28,1992,11.3,0,1,0,0,0.09,0,0,,13,0,0,0,0,0,0.02,0,0,Matches
736,Gedion Zelalem\b15ac68f,us USA,MF,NYCFC,24,1997,1.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
737,Lucas Zelarayán\3ce30893,am ARM,MF,Columbus Crew,28,1992,29.1,12,93,34,36.6,3.19,1.17,0.12,0.32,23.3,30,1,1,6.5,5.7,0.06,+5.5,+5.3,Matches
738,Walker Zimmerman\220fa883,us USA,DF,Nashville,27,1993,22.7,3,28,10,35.7,1.23,0.44,0.11,0.3,9.5,0,0,0,2.2,2.2,0.08,+0.8,+0.8,Matches
739,Rida Zouhir\e1e65f24,ca CAN,MF,CF Montréal,17,2003,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
740,Ethan Zubak\9f39b6cf,us USA,FWMF,LA Galaxy,22,1998,7.5,1,14,4,28.6,1.88,0.54,0.07,0.25,17,0,0,0,1.3,1.3,0.09,-0.3,-0.3,Matches
741,Dario Župarić\c6f99e42,ba BIH,DF,Portland Timbers,28,1992,30,0,7,1,14.3,0.23,0.03,0,0,12.1,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
742,Graham Zusi\9ba42447,us USA,DF,Sporting KC,34,1986,23.6,0,20,3,15,0.85,0.13,0,0,28.4,1,0,0,0.6,0.6,0.03,-0.6,-0.6,Matches
743,Guðmundur Þórarinsson\ded30989,is ISL,DF,NYCFC,28,1992,18.3,2,16,7,43.8,0.87,0.38,0.13,0.29,21.4,5,0,0,0.8,0.8,0.05,+1.2,+1.2,Matches
